Country or Area,Year,Value,Value Footnotes
"Korea, Rep.",1991,9660,
"Korea, Rep.",1990,8600,
Kosovo,2013,9090,
Kosovo,2012,8840,
Kosovo,2011,8420,
Kosovo,2010,8020,
Kosovo,2009,7650,
Kosovo,2008,7610,
Kosovo,2007,7350,
Kosovo,2006,6880,
Kuwait,2011,88170,
Kuwait,2010,83120,
Kuwait,2009,84920,
Kuwait,2008,94260,
Kuwait,2007,98580,
Kuwait,2006,95730,
Kuwait,2005,89370,
Kuwait,2004,82110,
Kuwait,2003,73710,
Kuwait,2002,64650,
Kuwait,2001,67070,
Kuwait,2000,69840,
Kuwait,1999,67910,
Kuwait,1998,75450,
Kuwait,1997,74610,
Kuwait,1996,71280,
Kuwait,1995,70440,
Kyrgyz Republic,2013,3080,
Kyrgyz Republic,2012,2850,
Kyrgyz Republic,2011,2610,
Kyrgyz Republic,2010,2560,
Kyrgyz Republic,2009,2640,
Kyrgyz Republic,2008,2570,
Kyrgyz Republic,2007,2420,
Kyrgyz Republic,2006,2180,
Kyrgyz Republic,2005,2030,
Kyrgyz Republic,2004,1980,
Kyrgyz Republic,2003,1840,
Kyrgyz Republic,2002,1700,
Kyrgyz Republic,2001,1690,
Kyrgyz Republic,2000,1550,
Kyrgyz Republic,1999,1450,
Kyrgyz Republic,1998,1420,
Kyrgyz Republic,1997,1410,
Kyrgyz Republic,1996,1300,
Kyrgyz Republic,1995,1210,
Kyrgyz Republic,1994,1280,
Kyrgyz Republic,1993,1580,
Kyrgyz Republic,1992,1830,
Kyrgyz Republic,1991,2100,
Kyrgyz Republic,1990,2250,
Lao PDR,2013,4550,
Lao PDR,2012,4170,
Lao PDR,2011,3840,
Lao PDR,2010,3570,
Lao PDR,2009,3450,
Lao PDR,2008,3190,
Lao PDR,2007,3000,
Lao PDR,2006,2710,
Lao PDR,2005,2550,
Lao PDR,2004,2300,
Lao PDR,2003,2100,
Lao PDR,2002,2010,
Lao PDR,2001,1890,
Lao PDR,2000,1770,
Lao PDR,1999,1710,
Lao PDR,1998,1580,
Lao PDR,1997,1540,
Lao PDR,1996,1480,
Lao PDR,1995,1390,
Lao PDR,1994,1310,
Lao PDR,1993,1210,
Lao PDR,1992,1150,
Lao PDR,1991,1100,
Lao PDR,1990,1050,
Latin America & Caribbean (all income levels),2013,14571,
Latin America & Caribbean (all income levels),2012,14126,
Latin America & Caribbean (all income levels),2011,13717,
Latin America & Caribbean (all income levels),2010,12965,
Latin America & Caribbean (all income levels),2009,12198,
Latin America & Caribbean (all income levels),2008,12307,
Latin America & Caribbean (all income levels),2007,11699,
Latin America & Caribbean (all income levels),2006,10886,
Latin America & Caribbean (all income levels),2005,10003,
Latin America & Caribbean (all income levels),2004,9272,
Latin America & Caribbean (all income levels),2003,8623,
Latin America & Caribbean (all income levels),2002,8413,
Latin America & Caribbean (all income levels),2001,8424,
Latin America & Caribbean (all income levels),2000,8323,
Latin America & Caribbean (all income levels),1999,7935,
Latin America & Caribbean (all income levels),1998,7928,
Latin America & Caribbean (all income levels),1997,7815,
Latin America & Caribbean (all income levels),1996,7425,
Latin America & Caribbean (all income levels),1995,7166,
Latin America & Caribbean (all income levels),1994,7128,
Latin America & Caribbean (all income levels),1993,6762,
Latin America & Caribbean (all income levels),1992,6194,
Latin America & Caribbean (all income levels),1991,5980,
Latin America & Caribbean (all income levels),1990,5670,
Latin America & Caribbean (developing only),2013,14204,
Latin America & Caribbean (developing only),2012,13778,
Latin America & Caribbean (developing only),2011,13395,
Latin America & Caribbean (developing only),2010,12676,
Latin America & Caribbean (developing only),2009,11947,
Latin America & Caribbean (developing only),2008,12049,
Latin America & Caribbean (developing only),2007,11430,
Latin America & Caribbean (developing only),2006,10633,
Latin America & Caribbean (developing only),2005,9784,
Latin America & Caribbean (developing only),2004,9065,
Latin America & Caribbean (developing only),2003,8421,
Latin America & Caribbean (developing only),2002,8223,
Latin America & Caribbean (developing only),2001,8242,
Latin America & Caribbean (developing only),2000,8160,
Latin America & Caribbean (developing only),1999,7790,
Latin America & Caribbean (developing only),1998,7787,
Latin America & Caribbean (developing only),1997,7688,
Latin America & Caribbean (developing only),1996,7308,
Latin America & Caribbean (developing only),1995,7069,
Latin America & Caribbean (developing only),1994,7061,
Latin America & Caribbean (developing only),1993,6698,
Latin America & Caribbean (developing only),1992,6126,
Latin America & Caribbean (developing only),1991,5930,
Latin America & Caribbean (developing only),1990,5627,
Latvia,2013,22510,
Latvia,2012,21020,
Latvia,2011,19660,
Latvia,2010,18010,
Latvia,2009,18130,
Latvia,2008,18520,
Latvia,2007,17100,
Latvia,2006,14950,
Latvia,2005,13140,
Latvia,2004,11710,
Latvia,2003,10780,
Latvia,2002,10020,
Latvia,2001,9010,
Latvia,2000,8040,
Latvia,1999,7340,
Latvia,1998,6980,
Latvia,1997,6490,
Latvia,1996,5820,
Latvia,1995,5420,
Latvia,1994,5280,
Latvia,1993,4980,
Latvia,1992,5010,
Latvia,1991,7100,
Latvia,1990,7820,
Least developed countries: UN classification,2013,2100,
Least developed countries: UN classification,2012,2019,
Least developed countries: UN classification,2011,1943,
Least developed countries: UN classification,2010,1878,
Least developed countries: UN classification,2009,1809,
Least developed countries: UN classification,2008,1730,
Least developed countries: UN classification,2007,1636,
Least developed countries: UN classification,2006,1499,
Least developed countries: UN classification,2005,1367,
Least developed countries: UN classification,2004,1260,
Least developed countries: UN classification,2003,1182,
Least developed countries: UN classification,2002,1125,
Least developed countries: UN classification,2001,1082,
Least developed countries: UN classification,2000,1034,
Least developed countries: UN classification,1999,987,
Least developed countries: UN classification,1998,962,
Least developed countries: UN classification,1997,936,
Least developed countries: UN classification,1996,891,
Least developed countries: UN classification,1995,846,
Least developed countries: UN classification,1994,800,
Least developed countries: UN classification,1993,794,
Least developed countries: UN classification,1992,782,
Least developed countries: UN classification,1991,787,
Least developed countries: UN classification,1990,770,
Lebanon,2013,17400,
Lebanon,2012,17090,
Lebanon,2011,16360,
Lebanon,2010,15720,
Lebanon,2009,14800,
Lebanon,2008,13800,
Lebanon,2007,12740,
Lebanon,2006,11260,
Lebanon,2005,10820,
Lebanon,2004,10240,
Lebanon,2003,8350,
Lebanon,2002,9590,
Lebanon,2001,9970,
Lebanon,2000,9960,
Lebanon,1999,9780,
Lebanon,1998,9790,
Lebanon,1997,9520,
Lebanon,1996,9730,
Lebanon,1995,9320,
Lebanon,1994,8670,
Lebanon,1993,8040,
Lebanon,1992,7630,
Lebanon,1991,7610,
Lebanon,1990,6100,
Lesotho,2013,3160,
Lesotho,2012,2990,
Lesotho,2011,2850,
Lesotho,2010,2600,
Lesotho,2009,2510,
Lesotho,2008,2450,
Lesotho,2007,2340,
Lesotho,2006,2260,
Lesotho,2005,2210,
Lesotho,2004,2240,
Lesotho,2003,2230,
Lesotho,2002,2130,
Lesotho,2001,2090,
Lesotho,2000,1710,
Lesotho,1999,1650,
Lesotho,1998,1600,
Lesotho,1997,1630,
Lesotho,1996,1580,
Lesotho,1995,1500,
Lesotho,1994,1510,
Lesotho,1993,1450,
Lesotho,1992,1460,
Lesotho,1991,1440,
Lesotho,1990,1410,
Liberia,2013,790,
Liberia,2012,730,
Liberia,2011,670,
Liberia,2010,580,
Liberia,2009,540,
Liberia,2008,460,
Liberia,2007,410,
Liberia,2006,340,
Liberia,2005,300,
Liberia,2004,250,
Liberia,2003,260,
Liberia,2002,420,
Liberia,2001,320,
Liberia,2000,360,
Liberia,1999,230,
Liberia,1998,240,
Liberia,1997,190,
Libya,2009,28080,
Libya,2008,27970,
Libya,2007,27610,
Libya,2006,25480,
Libya,2005,23140,
Libya,2004,20700,
Libya,2003,20190,
Libya,2002,17630,
Lithuania,2013,24550,
Lithuania,2012,23050,
Lithuania,2011,21490,
Lithuania,2010,19440,
Lithuania,2009,18410,
Lithuania,2008,19980,
Lithuania,2007,18360,
Lithuania,2006,16420,
Lithuania,2005,14440,
Lithuania,2004,12840,
Lithuania,2003,11870,
Lithuania,2002,10520,
Lithuania,2001,9450,
Lithuania,2000,8470,
Lithuania,1999,7830,
Lithuania,1998,7820,
Lithuania,1997,7170,
Lithuania,1996,6600,
Lithuania,1995,6200,
Lithuania,1994,5860,
Lithuania,1993,6310,
Lithuania,1992,7330,
Lithuania,1991,9070,
Lithuania,1990,9320,
Low & middle income,2013,8439,
Low & middle income,2012,8034,
Low & middle income,2011,7591,
Low & middle income,2010,7101,
Low & middle income,2009,6593,
Low & middle income,2008,6364,
Low & middle income,2007,5959,
Low & middle income,2006,5394,
Low & middle income,2005,4862,
Low & middle income,2004,4440,
Low & middle income,2003,4058,
Low & middle income,2002,3782,
Low & middle income,2001,3624,
Low & middle income,2000,3466,
Low & middle income,1999,3264,
Low & middle income,1998,3160,
Low & middle income,1997,3077,
Low & middle income,1996,2924,
Low & middle income,1995,2754,
Low & middle income,1994,2629,
Low & middle income,1993,2495,
Low & middle income,1992,2334,
Low & middle income,1991,2231,
Low & middle income,1990,2140,
Low income,2013,1903,
Low income,2012,1812,
Low income,2011,1710,
Low income,2010,1613,
Low income,2009,1530,
Low income,2008,1469,
Low income,2007,1395,
Low income,2006,1295,
Low income,2005,1202,
Low income,2004,1120,
Low income,2003,1049,
Low income,2002,1004,
Low income,2001,984,
Low income,2000,943,
Low income,1999,909,
Low income,1998,883,
Low income,1997,863,
Low income,1996,836,
Low income,1995,796,
Low income,1994,767,
Low income,1993,757,
Low income,1992,748,
Low income,1991,758,
Low income,1990,740,
Lower middle income,2013,5966,
Lower middle income,2012,5682,
Lower middle income,2011,5415,
Lower middle income,2010,5137,
Lower middle income,2009,4788,
Lower middle income,2008,4585,
Lower middle income,2007,4364,
Lower middle income,2006,4005,
Lower middle income,2005,3651,
Lower middle income,2004,3361,
Lower middle income,2003,3082,
Lower middle income,2002,2842,
Lower middle income,2001,2742,
Lower middle income,2000,2613,
Lower middle income,1999,2500,
Lower middle income,1998,2395,
Lower middle income,1997,2393,
Lower middle income,1996,2302,
Lower middle income,1995,2169,
Lower middle income,1994,2054,
Lower middle income,1993,1971,
Lower middle income,1992,1895,
Lower middle income,1991,1842,
Lower middle income,1990,1826,
Luxembourg,2013,57420,
Luxembourg,2012,57980,
Luxembourg,2011,59240,
Luxembourg,2010,55030,
Luxembourg,2009,52700,
Luxembourg,2008,67240,
Luxembourg,2007,65690,
Luxembourg,2006,56050,
Luxembourg,2005,59250,
Luxembourg,2004,53090,
Luxembourg,2003,48030,
Luxembourg,2002,48470,
Luxembourg,2001,43600,
Luxembourg,2000,41920,
Luxembourg,1999,39490,
Luxembourg,1998,35640,
Luxembourg,1997,35220,
Luxembourg,1996,33540,
Luxembourg,1995,32260,
Luxembourg,1994,30640,
Luxembourg,1993,30410,
Luxembourg,1992,29450,
Luxembourg,1991,28810,
Luxembourg,1990,25820,
"Macao SAR, China",2012,112230,
"Macao SAR, China",2011,101840,
"Macao SAR, China",2010,86530,
"Macao SAR, China",2009,70040,
"Macao SAR, China",2008,69020,
"Macao SAR, China",2007,75100,
"Macao SAR, China",2006,59170,
"Macao SAR, China",2005,53580,
"Macao SAR, China",2004,49370,
"Macao SAR, China",2003,39960,
"Macao SAR, China",2002,35900,
"Macao SAR, China",2001,31420,
"Macao SAR, China",2000,32280,
"Macao SAR, China",1999,30930,
"Macao SAR, China",1998,32200,
"Macao SAR, China",1997,33890,
"Macao SAR, China",1996,33880,
"Macao SAR, China",1995,34350,
"Macao SAR, China",1994,33570,
"Macao SAR, China",1993,32110,
"Macao SAR, China",1992,30610,
"Macao SAR, China",1991,27290,
"Macao SAR, China",1990,26110,
"Macedonia, FYR",2013,11520,
"Macedonia, FYR",2012,11430,
"Macedonia, FYR",2011,11170,
"Macedonia, FYR",2010,11210,
"Macedonia, FYR",2009,10880,
"Macedonia, FYR",2008,10360,
"Macedonia, FYR",2007,8820,
"Macedonia, FYR",2006,8530,
"Macedonia, FYR",2005,7540,
"Macedonia, FYR",2004,6800,
"Macedonia, FYR",2003,6200,
"Macedonia, FYR",2002,5810,
"Macedonia, FYR",2001,5660,
"Macedonia, FYR",2000,5710,
"Macedonia, FYR",1999,5360,
"Macedonia, FYR",1998,5160,
"Macedonia, FYR",1997,4970,
"Macedonia, FYR",1996,4870,
"Macedonia, FYR",1995,4760,
"Macedonia, FYR",1994,4680,
"Macedonia, FYR",1993,4610,
"Macedonia, FYR",1992,4780,
"Macedonia, FYR",1991,5100,
"Macedonia, FYR",1990,5220,
Madagascar,2013,1370,
Madagascar,2012,1360,
Madagascar,2011,1350,
Madagascar,2010,1350,
Madagascar,2009,1370,
Madagascar,2008,1460,
Madagascar,2007,1370,
Madagascar,2006,1280,
Madagascar,2005,1220,
Madagascar,2004,1160,
Madagascar,2003,1110,
Madagascar,2002,1020,
Madagascar,2001,1190,
Madagascar,2000,1130,
Madagascar,1999,1090,
Madagascar,1998,1050,
Madagascar,1997,1030,
Madagascar,1996,990,
Madagascar,1995,970,
Madagascar,1994,970,
Madagascar,1993,990,
Madagascar,1992,970,
Madagascar,1991,950,
Madagascar,1990,1030,
Malawi,2013,750,
Malawi,2012,730,
Malawi,2011,730,
Malawi,2010,710,
Malawi,2009,680,
Malawi,2008,640,
Malawi,2007,600,
Malawi,2006,550,
Malawi,2005,530,
Malawi,2004,520,
Malawi,2003,490,
Malawi,2002,470,
Malawi,2001,470,
Malawi,2000,490,
Malawi,1999,480,
Malawi,1998,480,
Malawi,1997,470,
Malawi,1996,460,
Malawi,1995,420,
Malawi,1994,350,
Malawi,1993,390,
Malawi,1992,350,
Malawi,1991,380,
Malawi,1990,340,
Malaysia,2013,22530,
Malaysia,2012,21460,
Malaysia,2011,20580,
Malaysia,2010,19330,
Malaysia,2009,18330,
Malaysia,2008,18600,
Malaysia,2007,17890,
Malaysia,2006,16560,
Malaysia,2005,15260,
Malaysia,2004,14190,
Malaysia,2003,13150,
Malaysia,2002,12270,
Malaysia,2001,11610,
Malaysia,2000,11430,
Malaysia,1999,10640,
Malaysia,1998,10280,
Malaysia,1997,11270,
Malaysia,1996,10660,
Malaysia,1995,9760,
Malaysia,1994,8920,
Malaysia,1993,8200,
Malaysia,1992,7440,
Malaysia,1991,6880,
Malaysia,1990,6290,
Maldives,2013,9900,
Maldives,2012,9310,
Maldives,2011,9310,
Maldives,2010,8940,
Maldives,2009,8490,
Maldives,2008,8740,
Maldives,2007,7760,
Maldives,2006,7980,
Maldives,2005,6590,
Maldives,2004,6880,
Maldives,2003,6030,
Maldives,2002,5280,
Maldives,2001,4990,
Mali,2013,1540,
Mali,2012,1550,
Mali,2011,1590,
Mali,2010,1560,
Mali,2009,1490,
Mali,2008,1480,
Mali,2007,1420,
Mali,2006,1370,
Mali,2005,1270,
Mali,2004,1190,
Mali,2003,1180,
Mali,2002,1070,
Mali,2001,1050,
Mali,2000,990,
Mali,1999,960,
Mali,1998,910,
Mali,1997,870,
Mali,1996,830,
Mali,1995,810,
Mali,1994,770,
Mali,1993,770,
Mali,1992,790,
Mali,1991,730,
Mali,1990,710,
Malta,2013,27030,
Malta,2012,26410,
Malta,2011,26760,
Malta,2010,26060,
Malta,2009,24420,
Malta,2008,25140,
Malta,2007,22680,
Malta,2006,21470,
Malta,2005,20070,
Malta,2004,19700,
Malta,2003,19620,
Malta,2002,19450,
Malta,2001,18440,
Malta,2000,18570,
Malta,1999,17200,
Malta,1998,15990,
Malta,1997,15600,
Malta,1996,14700,
Malta,1995,15570,
Malta,1994,14560,
Malta,1993,13870,
Malta,1992,13210,
Malta,1991,12620,
Malta,1990,11760,
Marshall Islands,2013,4630,
Marshall Islands,2012,4330,
Marshall Islands,2011,4280,
Marshall Islands,2010,4160,
Marshall Islands,2009,4060,
Marshall Islands,2008,4120,
Marshall Islands,2007,4170,
Marshall Islands,2006,3920,
Marshall Islands,2005,3780,
Marshall Islands,2004,3510,
Marshall Islands,2003,3430,
Marshall Islands,2002,3380,
Marshall Islands,2001,3320,
Marshall Islands,2000,3090,
Marshall Islands,1999,2850,
Marshall Islands,1998,2810,
Marshall Islands,1997,2780,
Marshall Islands,1996,2880,
Marshall Islands,1995,3300,
Mauritania,2013,2850,
Mauritania,2012,2740,
Mauritania,2011,2610,
Mauritania,2010,2560,
Mauritania,2009,2490,
Mauritania,2008,2610,
Mauritania,2007,2590,
Mauritania,2006,2470,
Mauritania,2005,2350,
Mauritania,2004,2250,
Mauritania,2003,2140,
Mauritania,2002,2180,
Mauritania,2001,1910,
Mauritania,2000,1960,
Mauritania,1999,1960,
Mauritania,1998,1860,
Mauritania,1997,1830,
Mauritania,1996,1930,
Mauritania,1995,1720,
Mauritania,1994,1580,
Mauritania,1993,1640,
Mauritania,1992,1570,
Mauritania,1991,2620,
Mauritania,1990,2520,
Mauritius,2013,17220,
Mauritius,2012,16540,
Mauritius,2011,15800,
Mauritius,2010,15100,
Mauritius,2009,14150,
Mauritius,2008,13870,
Mauritius,2007,13180,
Mauritius,2006,11970,
Mauritius,2005,11200,
Mauritius,2004,10790,
Mauritius,2003,9990,
Mauritius,2002,9630,
Mauritius,2001,9370,
Mauritius,2000,8940,
Mauritius,1999,8100,
Mauritius,1998,7880,
Mauritius,1997,7440,
Mauritius,1996,6970,
Mauritius,1995,6580,
Mauritius,1994,6220,
Mauritius,1993,5980,
Mauritius,1992,5640,
Mauritius,1991,5240,
Mauritius,1990,4860,
Mexico,2013,16110,
Mexico,2012,15910,
Mexico,2011,15650,
Mexico,2010,14590,
Mexico,2009,13780,
Mexico,2008,14030,
Mexico,2007,13330,
Mexico,2006,12840,
Mexico,2005,11750,
Mexico,2004,10860,
Mexico,2003,10270,
Mexico,2002,10060,
Mexico,2001,10000,
Mexico,2000,9990,
Mexico,1999,9400,
Mexico,1998,8940,
Mexico,1997,8610,
Mexico,1996,7980,
Mexico,1995,7600,
Mexico,1994,8560,
Mexico,1993,8190,
Mexico,1992,6390,
Mexico,1991,6150,
Mexico,1990,5800,
"Micronesia, Fed. Sts.",2013,3680,
"Micronesia, Fed. Sts.",2012,3670,
"Micronesia, Fed. Sts.",2011,3540,
"Micronesia, Fed. Sts.",2010,3390,
"Micronesia, Fed. Sts.",2009,3330,
"Micronesia, Fed. Sts.",2008,3160,
"Micronesia, Fed. Sts.",2007,3200,
"Micronesia, Fed. Sts.",2006,3140,
"Micronesia, Fed. Sts.",2005,3040,
"Micronesia, Fed. Sts.",2004,2860,
"Micronesia, Fed. Sts.",2003,2840,
"Micronesia, Fed. Sts.",2002,2730,
"Micronesia, Fed. Sts.",2001,2680,
"Micronesia, Fed. Sts.",2000,2580,
"Micronesia, Fed. Sts.",1999,2400,
"Micronesia, Fed. Sts.",1998,2340,
"Micronesia, Fed. Sts.",1997,2400,
"Micronesia, Fed. Sts.",1996,2390,
"Micronesia, Fed. Sts.",1995,2440,
"Micronesia, Fed. Sts.",1994,2380,
"Micronesia, Fed. Sts.",1993,2380,
Middle East & North Africa (all income levels),2013,17875,
Middle East & North Africa (all income levels),2012,17778,
Middle East & North Africa (all income levels),2011,16747,
Middle East & North Africa (all income levels),2010,15896,
Middle East & North Africa (all income levels),2009,15365,
Middle East & North Africa (all income levels),2008,15350,
Middle East & North Africa (all income levels),2007,14832,
Middle East & North Africa (all income levels),2006,13865,
Middle East & North Africa (all income levels),2005,12778,
Middle East & North Africa (all income levels),2004,11948,
Middle East & North Africa (all income levels),2003,11097,
Middle East & North Africa (all income levels),2002,10467,
Middle East & North Africa (all income levels),2001,10322,
Middle East & North Africa (all income levels),2000,9989,
Middle East & North Africa (all income levels),1999,9515,
Middle East & North Africa (all income levels),1998,9429,
Middle East & North Africa (all income levels),1997,9133,
Middle East & North Africa (all income levels),1996,8798,
Middle East & North Africa (all income levels),1995,8405,
Middle East & North Africa (all income levels),1994,8170,
Middle East & North Africa (all income levels),1993,8032,
Middle East & North Africa (all income levels),1992,7948,
Middle East & North Africa (all income levels),1991,7588,
Middle East & North Africa (all income levels),1990,7053,
Middle East & North Africa (developing only),2009,10453,
Middle East & North Africa (developing only),2008,10313,
Middle East & North Africa (developing only),2007,10055,
Middle East & North Africa (developing only),2006,9346,
Middle East & North Africa (developing only),2005,8659,
Middle East & North Africa (developing only),2004,8115,
Middle East & North Africa (developing only),2003,7660,
Middle East & North Africa (developing only),2002,7218,
Middle East & North Africa (developing only),2001,6976,
Middle East & North Africa (developing only),2000,6642,
Middle East & North Africa (developing only),1999,6339,
Middle East & North Africa (developing only),1998,6177,
Middle East & North Africa (developing only),1997,5953,
Middle East & North Africa (developing only),1996,5751,
Middle East & North Africa (developing only),1995,5428,
Middle East & North Africa (developing only),1994,5249,
Middle East & North Africa (developing only),1993,5132,
Middle East & North Africa (developing only),1992,5147,
Middle East & North Africa (developing only),1991,4950,
Middle East & North Africa (developing only),1990,4623,
Middle income,2013,9561,
Middle income,2012,9090,
Middle income,2011,8578,
Middle income,2010,8012,
Middle income,2009,7426,
Middle income,2008,7161,
Middle income,2007,6695,
Middle income,2006,6050,
Middle income,2005,5442,
Middle income,2004,4961,
Middle income,2003,4525,
Middle income,2002,4210,
Middle income,2001,4027,
Middle income,2000,3847,
Middle income,1999,3617,
Middle income,1998,3497,
Middle income,1997,3403,
Middle income,1996,3228,
Middle income,1995,3036,
Middle income,1994,2895,
Middle income,1993,2742,
Middle income,1992,2557,
Middle income,1991,2437,
Middle income,1990,2334,
Moldova,2013,5180,
Moldova,2012,4710,
Moldova,2011,4520,
Moldova,2010,4160,
Moldova,2009,3740,
Moldova,2008,4090,
Moldova,2007,3700,
Moldova,2006,3560,
Moldova,2005,3300,
Moldova,2004,2990,
Moldova,2003,2680,
Moldova,2002,2340,
Moldova,2001,2130,
Moldova,2000,1870,
Moldova,1999,1800,
Moldova,1998,1830,
Moldova,1997,1940,
Moldova,1996,1890,
Moldova,1995,1860,
Moldova,1994,1850,
Moldova,1993,2640,
Moldova,1992,2600,
Moldova,1991,3590,
Moldova,1990,4150,
Mongolia,2013,8810,
Mongolia,2012,7670,
Mongolia,2011,6770,
Mongolia,2010,5770,
Mongolia,2009,5730,
Mongolia,2008,5910,
Mongolia,2007,5450,
Mongolia,2006,4930,
Mongolia,2005,4430,
Mongolia,2004,4110,
Mongolia,2003,3650,
Mongolia,2002,3390,
Mongolia,2001,3230,
Mongolia,2000,3090,
Mongolia,1999,3020,
Mongolia,1998,2920,
Mongolia,1997,2790,
Mongolia,1996,2660,
Mongolia,1995,2550,
Mongolia,1994,2360,
Mongolia,1993,2250,
Mongolia,1992,2320,
Mongolia,1991,2580,
Mongolia,1990,2740,
Montenegro,2013,14410,
Montenegro,2012,13810,
Montenegro,2011,14180,
Montenegro,2010,13230,
Montenegro,2009,13130,
Montenegro,2008,14090,
Montenegro,2007,12590,
Montenegro,2006,10670,
Montenegro,2005,8480,
Montenegro,2004,8210,
Montenegro,2003,7720,
Montenegro,2002,7380,
Montenegro,2001,7100,
Montenegro,2000,6880,
Morocco,2013,7000,
Morocco,2012,6670,
Morocco,2011,6490,
Morocco,2010,6160,
Morocco,2009,5950,
Morocco,2008,5750,
Morocco,2007,5420,
Morocco,2006,5180,
Morocco,2005,4710,
Morocco,2004,4460,
Morocco,2003,4170,
Morocco,2002,3870,
Morocco,2001,3720,
Morocco,2000,3420,
Morocco,1999,3330,
Morocco,1998,3310,
Morocco,1997,3060,
Morocco,1996,3120,
Morocco,1995,2740,
Morocco,1994,2900,
Morocco,1993,2580,
Morocco,1992,2610,
Morocco,1991,2660,
Morocco,1990,2450,
Mozambique,2013,1100,
Mozambique,2012,1040,
Mozambique,2011,960,
Mozambique,2010,880,
Mozambique,2009,840,
Mozambique,2008,780,
Mozambique,2007,740,
Mozambique,2006,670,
Mozambique,2005,650,
Mozambique,2004,600,
Mozambique,2003,560,
Mozambique,2002,530,
Mozambique,2001,480,
Mozambique,2000,440,
Mozambique,1999,440,
Mozambique,1998,410,
Mozambique,1997,370,
Mozambique,1996,340,
Mozambique,1995,310,
Mozambique,1994,300,
Mozambique,1993,290,
Mozambique,1992,270,
Mozambique,1991,300,
Mozambique,1990,280,
Namibia,2013,9490,
Namibia,2012,8890,
Namibia,2011,8440,
Namibia,2010,7890,
Namibia,2009,7670,
Namibia,2008,7720,
Namibia,2007,7490,
Namibia,2006,7020,
Namibia,2005,6380,
Namibia,2004,6270,
Namibia,2003,5680,
Namibia,2002,5220,
Namibia,2001,4920,
Namibia,2000,4880,
Namibia,1999,4650,
Namibia,1998,4680,
Namibia,1997,4590,
Namibia,1996,4470,
Namibia,1995,4480,
Namibia,1994,4240,
Namibia,1993,4220,
Namibia,1992,4260,
Namibia,1991,4120,
Namibia,1990,3750,
Nepal,2013,2260,
Nepal,2012,2170,
Nepal,2011,2060,
Nepal,2010,1970,
Nepal,2009,1890,
Nepal,2008,1810,
Nepal,2007,1690,
Nepal,2006,1610,
Nepal,2005,1520,
Nepal,2004,1440,
Nepal,2003,1360,
Nepal,2002,1310,
Nepal,2001,1320,
Nepal,2000,1250,
Nepal,1999,1180,
Nepal,1998,1140,
Nepal,1997,1120,
Nepal,1996,1070,
Nepal,1995,1030,
Nepal,1994,1000,
Nepal,1993,930,
Nepal,1992,900,
Nepal,1991,860,
Nepal,1990,810,
Netherlands,2013,46400,
Netherlands,2012,45970,
Netherlands,2011,46340,
Netherlands,2010,45030,
Netherlands,2009,44280,
Netherlands,2008,44890,
Netherlands,2007,43570,
Netherlands,2006,41030,
Netherlands,2005,36990,
Netherlands,2004,35880,
Netherlands,2003,34040,
Netherlands,2002,33860,
Netherlands,2001,32560,
Netherlands,2000,32210,
Netherlands,1999,29230,
Netherlands,1998,27160,
Netherlands,1997,26030,
Netherlands,1996,24350,
Netherlands,1995,23390,
Netherlands,1994,22150,
Netherlands,1993,21050,
Netherlands,1992,20300,
Netherlands,1991,19740,
Netherlands,1990,18720,
New Zealand,2012,30750,
New Zealand,2011,30240,
New Zealand,2010,28800,
New Zealand,2009,28980,
New Zealand,2008,27020,
New Zealand,2007,26780,
New Zealand,2006,25490,
New Zealand,2005,23810,
New Zealand,2004,23400,
New Zealand,2003,22580,
New Zealand,2002,21920,
New Zealand,2001,21200,
New Zealand,2000,20090,
New Zealand,1999,19140,
New Zealand,1998,18240,
New Zealand,1997,17730,
New Zealand,1996,16860,
New Zealand,1995,16620,
New Zealand,1994,15770,
New Zealand,1993,14740,
New Zealand,1992,13920,
New Zealand,1991,13550,
New Zealand,1990,14200,
Nicaragua,2013,4510,
Nicaragua,2012,4310,
Nicaragua,2011,4110,
Nicaragua,2010,3860,
Nicaragua,2009,3720,
Nicaragua,2008,3870,
Nicaragua,2007,3720,
Nicaragua,2006,3460,
Nicaragua,2005,3310,
Nicaragua,2004,3090,
Nicaragua,2003,2880,
Nicaragua,2002,2780,
Nicaragua,2001,2740,
Nicaragua,2000,2660,
Nicaragua,1999,2530,
Nicaragua,1998,2370,
Nicaragua,1997,2260,
Nicaragua,1996,2140,
Nicaragua,1995,1990,
Nicaragua,1994,1810,
Nicaragua,1993,1510,
Nicaragua,1992,1460,
Nicaragua,1991,1560,
Nicaragua,1990,1950,
Niger,2013,890,
Niger,2012,890,
Niger,2011,820,
Niger,2010,820,
Niger,2009,780,
Niger,2008,810,
Niger,2007,750,
Niger,2006,740,
Niger,2005,700,
Niger,2004,670,
Niger,2003,670,
Niger,2002,650,
Niger,2001,650,
Niger,2000,610,
Niger,1999,630,
Niger,1998,640,
Niger,1997,600,
Niger,1996,590,
Niger,1995,580,
Niger,1994,570,
Niger,1993,560,
Niger,1992,560,
Niger,1991,600,
Niger,1990,580,
Nigeria,2013,5360,
Nigeria,2012,5130,
Nigeria,2011,4930,
Nigeria,2010,4740,
Nigeria,2009,4310,
Nigeria,2008,4170,
Nigeria,2007,3960,
Nigeria,2006,3870,
Nigeria,2005,3240,
Nigeria,2004,3140,
Nigeria,2003,2340,
